datetime,Mag1Field,Latitude,Longitude,Height_m,X_nT,Y_nT,Z_nT,Mag_Anomaly
2025-06-07 11:45:01.000,60224.428,51.700561111111114,9.207872222222221,671.223,1242,1491,1050,-180.72239423860447
2025-06-07 11:45:01.100,60223.916,51.700561111111114,9.207872222222221,671.145,1232,1438,1035,-181.2343942386069
2025-06-07 11:45:01.200,60224.18,51.700561111111114,9.207872222222221,671.094,1313,1548,1095,-180.97039423860406
2025-06-07 11:45:01.300,60225.385,51.700563888888894,9.207875,671.031,1338,1525,1079,-179.7653942386023
2025-06-07 11:45:01.400,60226.162,51.700563888888894,9.207875,670.965,1346,1552,1100,-178.98839423860773
2025-06-07 11:45:01.500,60225.788,51.700563888888894,9.207875,670.857,1331,1535,1094,-179.36239423860388
2025-06-07 11:45:01.600,60224.669,51.700563888888894,9.207875,670.857,1292,1534,1093,-180.48139423860266
2025-06-07 11:45:01.700,60224.363,51.70056666666667,9.207877777777778,670.724,1243,1516,1061,-180.7873942386068
2025-06-07 11:45:01.800,60225.944,51.70056666666667,9.207877777777778,670.662,1147,1484,1029,-179.2063942386012
2025-06-07 11:45:01.900,60228.141,51.70056666666667,9.207877777777778,670.662,1140,1545,1085,-177.0093942386011
2025-06-07 11:45:02.000,60228.793,51.70056666666667,9.207877777777778,670.612,1138,1521,1050,-176.3573942386065
2025-06-07 11:45:02.100,60227.092,51.70056944444445,9.207877777777778,670.56,1127,1486,1019,-178.05839423860743
2025-06-07 11:45:02.200,60225.668,51.70056944444445,9.207880555555555,670.499,1161,1533,1064,-179.4823942386065
2025-06-07 11:45:02.300,60226.178,51.70056944444445,9.207880555555555,670.441,1231,1485,1046,-178.97239423860447
2025-06-07 11:45:02.400,60228.283,51.70057222222223,9.207880555555555,670.39,1324,1554,1104,-176.86739423860126
2025-06-07 11:45:02.500,60230.037,51.70057222222223,9.207880555555555,670.294,1339,1536,1099,-175.11339423860773
2025-06-07 11:45:02.600,60229.557,51.70057222222223,9.207880555555555,670.294,1344,1550,1099,-175.59339423860365
2025-06-07 11:45:02.700,60228.036,51.700575,9.207883333333333,670.184,1311,1538,1052,-177.1143942386043
2025-06-07 11:45:02.800,60227.139,51.700575,9.207883333333333,670.125,1271,1479,1030,-178.0113942386015
2025-06-07 11:45:02.900,60228.499,51.700575,9.207883333333333,670.125,1199,1489,1029,-176.65139423860091
2025-06-07 11:45:03.000,60230.803,51.700575,9.207883333333333,670.061,1132,1474,1018,-174.34739423860447
2025-06-07 11:45:03.100,60231.985,51.70057777777778,9.207886111111112,669.957,1124,1459,1031,-173.16539423860377
2025-06-07 11:45:03.200,60231.151,51.70057777777778,9.207886111111112,669.899,1132,1496,1034,-173.99939423860633
2025-06-07 11:45:03.300,60229.634,51.70057777777778,9.207886111111112,669.899,1118,1514,1016,-175.51639423860615
2025-06-07 11:45:03.400,60229.798,51.70057777777778,9.207886111111112,669.829,1161,1535,1049,-175.35239423860185
2025-06-07 11:45:03.500,60231.473,51.70058055555556,9.207886111111112,669.771,1237,1483,1035,-173.6773942386062
2025-06-07 11:45:03.600,60233.031,51.70058055555556,9.207888888888888,669.664,1288,1484,1049,-172.11939423860167
2025-06-07 11:45:03.700,60232.826,51.70058055555556,9.207888888888888,669.604,1333,1536,1102,-172.32439423860342
2025-06-07 11:45:03.800,60232.031,51.70058055555556,9.207888888888888,669.548,1338,1542,1096,-173.11939423860167
2025-06-07 11:45:03.900,60231.977,51.70058055555556,9.207888888888888,669.548,1366,1639,1105,-173.1733942386054
2025-06-07 11:45:04.000,60232.931,51.700583333333334,9.207891666666667,669.477,1307,1543,1097,-172.2193942386075
2025-06-07 11:45:04.100,60233.708,51.700583333333334,9.207891666666667,669.359,1301,1530,1079,-171.44239423860563
2025-06-07 11:45:04.200,60233.647,51.700583333333334,9.207891666666667,669.359,1256,1548,1097,-171.50339423860714
2025-06-07 11:45:04.300,60233.089,51.700586111111114,9.207894444444443,669.233,1178,1425,994,-172.0613942386044
2025-06-07 11:45:04.400,60233.196,51.700586111111114,9.207894444444443,669.233,1127,1499,1062,-171.9543942386008
2025-06-07 11:45:04.500,60234.1,51.700586111111114,9.207894444444443,669.166,1126,1497,1050,-171.0503942386058
2025-06-07 11:45:04.600,60234.747,51.700586111111114,9.207897222222222,669.046,1122,1535,1057,-170.40339423860132
2025-06-07 11:45:04.700,60234.741,51.700588888888895,9.207897222222222,668.985,1155,1535,1061,-170.40939423860254
2025-06-07 11:45:04.800,60234.199,51.700588888888895,9.207897222222222,668.925,1188,1454,1029,-170.95139423860383
2025-06-07 11:45:04.900,60234.584,51.700588888888895,9.2079,668.861,1216,1488,1056,-170.5663942386018
2025-06-07 11:45:05.000,60235.511,51.700588888888895,9.2079,668.861,1294,1504,1069,-169.63939423860575
2025-06-07 11:45:05.100,60235.872,51.70059166666667,9.2079,668.799,1312,1522,1066,-169.27839423860132
2025-06-07 11:45:05.200,60235.29,51.70059166666667,9.2079,668.665,1334,1549,1108,-169.86039423860348
2025-06-07 11:45:05.300,60234.848,51.70059166666667,9.2079,668.665,1340,1561,1128,-170.3023942386062
2025-06-07 11:45:05.400,60235.08,51.70059444444445,9.207902777777777,668.523,1324,1521,1071,-170.0703942386026
2025-06-07 11:45:05.500,60235.684,51.70059444444445,9.207902777777777,668.455,1303,1523,1081,-169.46639423860324
2025-06-07 11:45:05.600,60236.232,51.70059444444445,9.207902777777777,668.386,1224,1460,1047,-168.91839423860074
2025-06-07 11:45:05.700,60236.131,51.70059722222223,9.207902777777777,668.306,1165,1524,1063,-169.01939423860313
